restID,name,city,phone_no,location,latitude,longitude,cuisines,ratings,number of reviews,restaurant_url,images_url
1,Makai Tukai Restaurant,Hurghada,+20 65 3590120,"South Sahl Hashish Road Jaz Aquamarine Resort, Hurghada 84511 Egypt",27.0369588,33.8522923,"Chinese,Sushi,Asian",5,"1,252 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR48VX6Z33cASMH6WAStDJGQO9WPuGZGRTbXZb3y3r9-hkkppOZL7VjczyILQ&s
2,Syake Sushi Hurghada,Hurghada,+20 100 131 4059,"Elhadaba Rd Al Fondok After La Perla Hotel, Hurghada Egypt",27.1978783,33.8401999,"Sushi,Japanese,Asian",5,685 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgWkSKYAPaUuYXMlpokfizB1MXRBBe5LsOhKRgtn2X2Pex62X-2fO3ruNgPg&s
3,Sofra,Hurghada,+20 65 3590120,"Jaz Makadi Saraya Resort Madinat Makadi, Hurghada 84651 Egypt",26.9886114,33.8996425,"Middle Eastern,Egyptian",5,"1,621 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqD_nbzSXE6GGt10I9YSqg_SJwJvrcBQRYiXbOhlNPbxBMN4GaI6qJmyLrbA&s
4,Sofra Middle Eastern Cuisine - Hurghada,Hurghada,+20 65 3461100,"Jaz Aquamarine Resort, Magawish District,, Hurghada 84511 Egypt",27.2578957,33.8116067,"Lebanese,Mediterranean,Middle Eastern",5,828 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSad4ArouDS_2Rx2xg7THzcrpAUJOkx24BwUXT4wgt6X4voU0uafir0dI54KHM&s
5,Makai Tukai,Hurghada,+20 65 3590120,"Jaz Makadi Saraya Resort Madinat Makadi, Hurghada 127 Egypt",26.987754,33.8963537,"Chinese,Sushi,Asian",5,"1,377 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNJIs-Fa30fl1gYosGRGxL53SZXO6nE-gYEHtCdpsturEMI6uOITYnxFpBpg&s
6,Amaya Restaurant,Hurghada,,"South Sahl Hashish Road Jaz Aquamarine Resort, Hurghada 84511 Egypt",27.0369588,33.8522923,"Indian,Healthy",5,400 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0s8uVyWIcUAns_UldBkECQfgdzj1zdY2TaTMiaNZFoabcGFEkxm9XoGcY93g&s
7,Waves Restaurant & Lounge Bar,Hurghada,+20 122 928 2717,"Hurghada Marina Boulevard, Hurghada 84511 Egypt",27.2578957,33.8116067,"Italian,International,Steakhouse,Bar,Seafood,Mediterranean,European,Central European,Egyptian",5,"1,503 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTdCiccPG3iGqkBlmIgJsTonCmrLMQMvOFeTUYe-IXbYo1nXB-WHu5JPuZ7ooc&s
8,Corallo Restaurant,Hurghada,+20 65 3461100,"South Sahl Hashish Road,Magawish District Jaz Aquamarine Resort, Hurghada 84511 Egypt",27.0369588,33.8522923,"Seafood,European",5,505 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMbA5lQFILs-uPg7WYrnLuqyfekUUL92zTpSGMC79HZaE168XNoufQi-xCVA&s
9,Beach Restaurant,Hurghada,,"Hurghada - Safaga Road Iberotel Makadi Beach Hotel, Makadi Bay, Hurghada Egypt",26.99,33.9007006,"Seafood,Soups",5,343 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdd0sHBsP7fDrnTJolnS7CrsgdExdq15zojPWZcncqhCFWjdsG3gofTMH3qw&s
10,Tandoor Restaurant - Ali Pasha Hotel,Hurghada,+20 128 109 0188,"Abu Tig Marina, El Gouna, Hurghada Egypt",27.4067592,33.6741353,Indian,5,713 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVo8cqYPlM2hq6m7aLcxL3zSuqb-wmJQ6DriztWXIoprppTHZ18V6V_jIS2A&s
11,The Grill Restaurant,Hurghada,+20 65 3590120,"Jaz Makadi Saraya Resort Madinat Makadi, Hurghada 127 Egypt",26.987754,33.8963537,"Barbecue,European,International",5,"1,381 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHglq75Aj-93cKaSZozohyhZtNRWzJikR7rcMlWAbeeUuks67fNNR2eWx1fw&s
12,Dolmabah̤e,Hurghada,+20 120 099 4111,"Tropitel Hotel, Sahl Hasheesh, Hurghada Egypt",27.0203632,33.8901513,"Turkish,Barbecue",5,232 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW2ixUGZDnVVwTRL4c5Q7ElQa-D-og02uYbcCi0nVCduheEhzU7a3Fs_uVBsI&s
13,Amaya Restaurant Madinat Makadi,Hurghada,+20 65 3590580,"JazAmaya Restaurant-Madinat Makadi - Safaga Road - Hurghada Red Sea - Egypt, Hurghada 84512 Egypt",26.9886114,33.8996425,Indian,5,593 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTUvswvc9cm6VHU4rzzo19xLaQetBlE6r4Hg_N5sDh12rfcEhwas_d0slJ2Q_E&s
14,Moby Dick,Hurghada,+20 65 3440050,"Sheraton Road Sheraton street, opposite the hotel Regina Royal Resort, to the right after exit., Hurghada 84511 Egypt",27.2578957,33.8116067,"International,European,Healthy,Egyptian",5,"3,699 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0AEeoi9MO4cymJsL1CCmLKhff5--7lB96RoJEYuY1kJOKGrg4G7Pw_g0FUMg&s
15,The Greek Bar & Restaurant,Hurghada,+20 127 693 6065,"Marina Boulevard Marina Boulevard, Hurghada 84511 Egypt",27.2578957,33.8116067,"Pizza,Diner,Wine Bar",5,"1,353 reviews",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQh1TD_i5iN4GbDzYa9zsHq6KyIrzXqtOEkAZO4psHsuA0mddlvidDReR_3Fg&s
16,Kan Zaman Restaurant,Hurghada,+20 100 696 5102,"El Gouna downtown Behind Crystal bike, H-11, El Gouna, Hurghada Egypt",27.3961469,33.6743248,"Egyptian,Mediterranean,Middle Eastern",4.5,298 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXg0_-ekDgAuFsIq2ZDsQCUE27pqDd4IULq1FG9ksXDvkDxj_NHZpfU6WVEhI&s
17,Burger Bay,Hurghada,+20 122 314 4330,"South Sahl Hashish Road Jaz Aquamarine Resort, Hurghada 84511 Egypt",27.0369588,33.8522923,"American,International",5,107 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSUlJgrHbnGfdqnRWzjqLD6Vm3B9d9UJKLFsewhEN3VwjuJSbyqx1IK_tTRBP8&s
18,Old School Bar & Restaurant,Hurghada,+20 101 735 0392,"El-Bahr, Hurghada 84517 Egypt",27.2604299,33.8208645,"Bar,European,Grill,Diner,Egyptian,Healthy,Pub",5,252 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb9t_lxKEe-FQupEKXydskHMqiYEg5khquoqcYBDMzMKe-6ThsYnB-CyA26g&s
19,S-Square Samurai,Hurghada,+20 127 221 2266,"Yussif Afifi Road, Hurghada Egypt",27.1853247,33.8269519,"Asian,Japanese,Seafood",5,396 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGl169iLx5e2IWhrMh0oHeDfDnEnO5YX0sxOOugaBcdy5f3NBrsnaxOcI4jQ&s
20,Mi Casa Restaurant,Hurghada,+20 109 257 0047,"Marina Hurghada, Hurghada 85411 Egypt",27.2578957,33.8116067,"Mediterranean,Egyptian,Seafood",5,287 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTo5CpRDiAk2UfhLE58MvgFUFHiocJjBqSbhiu2YKfQlZZj-J0lY36ebwu0Uuk&s
21,Red Dragon - Asian Kitchen & Bar,Hurghada,+20 127 693 6065,"Marina Boulevard Marina Boulevard, Hurghada 84511 Egypt",27.2578957,33.8116067,"Indian,Sushi,Asian,Central Asian,Chinese,Japanese,Healthy",5,685 reviews,,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT30t7TDZKd6Y7TXfQpsxSMwxhsGNSv2TV50zmwSptPGbWytdY6TKUD6KSsVI0&s
