restID,Name,City,phone_no,location,Latitude,Longitude,cuisines,rate,number of reviews,restaurant_url,images_url
1,Beeja,Cairo,1030023000,"53 Abou El Feda Biota Complex, Cairo 11511 Egypt",30.0730575,31.2224477,"Mediterranean,Egyptian,Middle Eastern",5,1940,https://www.tripadvisor.com/Restaurant_Review-g294201-d17782629-Reviews-Beeja-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvNVdInAzZ-7xYNiN-LZVd-t-yPo3w6BKa648g13SCgEtEySkr008_tJ6suPw&s
2,The Blue Restaurant & Grill,Cairo,+20 2 27980000,"12 Ahmed Ragheb Street Garden City, Cairo 11519 Egypt",30.0386546,31.2304663,Mediterranean,5,1734,https://www.tripadvisor.com/Restaurant_Review-g294201-d2602748-Reviews-The_Blue_Restaurant_Grill-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDTzVTK-fp8h7PVAKjtZjL1IgRubhbxGxXbC_wjAjGr5SS5kGQoQs1B2-1uQ&s
3,Lobby Lounge,Cairo,+20 2 25778899,"1113 Corniche El Nil, Downtown, Cairo 11221 Egypt",30.0467142,31.2347129,"International,Bar,Egyptian",5,580,https://www.tripadvisor.com/Restaurant_Review-g294201-d13567060-Reviews-Lobby_Lounge-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKgNBVm2U0Yvv7-6CA62cCXB9xurqMlmVD835pHwszh67M-OVQQOaMq49HOv0&s
4,Culina,Cairo,+20 2 25778899,"1113 Corniche El Nil Street The Nile Ritz-Carlton, Downtown, Cairo 11221 Egypt",30.0467142,31.2347129,"Mediterranean,European,Middle Eastern,Egyptian,International",5,814,https://www.tripadvisor.com/Restaurant_Review-g294201-d8734329-Reviews-Culina-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnUlZviWxIVaUSQ4U9ltkab1PyU8M8y9VXnlxEZm48Nii0yXaINobvIZgoHQ&s
5,Raj,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis Al Orouba Street ,, Cairo 11511 Egypt",30.1067689,31.3645509,Indian,5,510,https://www.tripadvisor.com/Restaurant_Review-g294201-d3333665-Reviews-Raj-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHSikMqwbsHs5hGTCJ2l0z449yD8PTYQlYuv5Wi67Z3lPFwQRYrd0eHvCET_E&s
6,Shogun Japanese Restaurant,Cairo,+20 2 24800009,"Omar Ibn EL Khattab St. Heliopolis InterContinental Cairo Citystars, Cairo 11511 Egypt",30.0723146,31.3476509,"Japanese,Sushi,Asian",5,1289,https://www.tripadvisor.com/Restaurant_Review-g294201-d2165744-Reviews-Shogun_Japanese_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTou188qxrl3Lc6s6j6d8Zg7cPLFjBzpAO4Bz1SxrcX1G0qJPjmNfxasizrovg&s
7,Fayruz Lebanese Restaurant,Cairo,+20 2 24800009,"InterContinental Cairo Citystars Omar Ibn El Khattab St., Heliopolis, Cairo 11511 Egypt",30.072351,31.3480106,"Lebanese,Mediterranean,Healthy,Middle Eastern",5,1986,https://www.tripadvisor.com/Restaurant_Review-g294201-d2619464-Reviews-Fayruz_Lebanese_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSVBmEEAyWle5tpcclSz1Q_yZVnfc_bVPAgcFrbjD4TbRx9GQj2HuCdNE9ZN1w&s
8,Al Khal Egyptian Restaurant,Cairo,+20 2 24800009,"InterContinental Cairo Citystars Omar Bin Khattab Street, Cairo 11511 Egypt",30.0724124,31.3479105,"Middle Eastern,Egyptian,Barbecue,Arabic",5,1664,https://www.tripadvisor.com/Restaurant_Review-g294201-d2715802-Reviews-Al_Khal_Egyptian_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRyY97DEGJ5LXkvM5Cp6Q5Hm1DzG6rcA1gOz93dKWSfoVyFgNaB4L_qBb_9Kg&s
9,Vivo - The Nile Ritz-Carlton,Cairo,+20 2 25778899,"1113 Corniche El Nil The Nile Ritz Carlton -Second floor, Cairo 11221 Egypt",30.0444196,31.2357116,"Italian,Mediterranean,European,Tuscan,Ligurian,Northern-Italian,Central-Italian",5,1346,https://www.tripadvisor.com/Restaurant_Review-g294201-d11768815-Reviews-Vivo_The_Nile_Ritz_Carlton-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTMYRreG2S0K_yjsL_ApDWxQAkdqm_EZQf-_9OiYFDstteL2wMklHm31GeWZQ&s
10,ZEN Cafe & Lounge,Cairo,+20 2 25260601,"Holiday Inn Cairo Maadi, 29 Corniche El Nil, Cairo 11511 Egypt",30.0444196,31.2357116,"Cafe,International,Bar,Healthy",5,313,https://www.tripadvisor.com/Restaurant_Review-g294201-d16827849-Reviews-ZEN_Cafe_Lounge-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0AoYL3Iz7N-H4c6gJu_3HYOtzHJsV2ua5wOY4tQnaAd0X-hN41vdPy05a34s&s
11,Sachi Park St,Cairo,+20 127 866 6185,"17 Al Bostan St, Cairo 11511 Egypt",30.0452762,31.2383576,"Mediterranean,Asian,Japanese,Healthy",5,202,https://www.tripadvisor.com/Restaurant_Review-g294201-d23414573-Reviews-Sachi_Park_St-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwY-gci3_tZA2e1REM4imMmR91CPCbk-zruKe874Pr4v_9fAsghfNgg-0ztlg&s
12,AL Dabke,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis Uruba Street, Heliopolis, Cairo 11511 Egypt",30.1065062,31.3650391,Lebanese,5,528,https://www.tripadvisor.com/Restaurant_Review-g294201-d2451793-Reviews-AL_Dabke-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTBB9IUGccdChTOUIZkMEVCs-OKFlG0NL0PzIBXyFzAgbJEhj1v3cr7D-enVmQ&s
13,Leonardo Ristorante,Cairo,+20 2 22677730,"Hilton Cairo Heliopolis Al Orouba Street, Heliopolis, Cairo 11511 Egypt",30.1067689,31.3645509,"Italian,Pizza,Mediterranean,European,Tuscan,Romana,Lazio,Central-Italian",5,390,https://www.tripadvisor.com/Restaurant_Review-g294201-d3329940-Reviews-Leonardo_Ristorante-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-aiuSVVpfZW7IgA9BSqgX3jkK9-u5pTm4qA0asVV1dldQ5pNfmqtGAAfjdZU&s
14,Meaet,Cairo,+20 101 102 8888,"22 El-farik Abd El-moniem Riad Dokki, Cairo 11511 Egypt",30.0505458,31.20562,"American,International,Fusion,Argentinean,South American",5,75,https://www.tripadvisor.com/Restaurant_Review-g294201-d21349156-Reviews-Meaet-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDn0XLL6FdGFTuL-hORrMtSxEV-HjkOhSpNzuDEuwS5WV2CZsH4o8uFLQ4pA&s
15,El-khan Restaurant,Cairo,+20 103 305 5585,"Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Cairo 11511 Egypt",30.0033427,31.4012146,"Egyptian,Middle Eastern",5,86,https://www.tripadvisor.com/Restaurant_Review-g294201-d23659475-Reviews-El_khan_Restaurant-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT67BOi_fN5eLg25FqYkLQy_n08-ZOphvF16JX9Z6J56XhvHei5VYnBU5ySuw&s
16,Night & Day,Cairo,+20 2 27988000,"InterContinental Cairo Semiramis Corniche El Nile, Garden City, Cairo 11511 Egypt",30.0380584,31.2325889,"Middle Eastern,Egyptian,International",5,392,https://www.tripadvisor.com/Restaurant_Review-g294201-d3139482-Reviews-Night_Day-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbtaWE1HB9MO8E6G1Kgkgwa5vs4QwLokhHuoUNnb5QbFxoces2MIeaw6W-Wg&s
17,Piccolino,Cairo,+20 103 305 5585,"Triumph Luxury Hotel Block 19 In Front Of Katameya Heights, Fifth Settlement, Cairo 11511 Egypt",30.0033427,31.4012146,Italian,5,129,https://www.tripadvisor.com/Restaurant_Review-g294201-d23658502-Reviews-Piccolino-Cairo_Cairo_Governorate.html,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlbDtd9iCIbR8eBN00XVoOXganzxDcY1HtjtcD0rJwnNsSH1RnnREbJT20AQ&s
