attraction_id,attraction_name,open_time,close_time,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords
1,Citadel of Saladin: , 9:00 AM , 5:00 PM,4.6,24755,Tourist attraction,"Sights and landmarks, Historic Sites",30.02875,31.25971,cairo,"Tourist attraction Sights and landmarks, Historic Sites"
2,Cairo Tower: , 9:00 AM , 12:00 AM,4.3,23202,Tourist attraction,Observation Decks & Towers,30.04592,31.22429,cairo,Tourist attraction Observation Decks & Towers
3,Khan el-Khalili: , 9:00 AM , 11:00 PM,4.4,45558,Bazar,Flea & Street Markets,30.04774,31.26225,cairo,Bazar Flea & Street Markets
4,Al-Azhar Park: , 9:00 AM , 12:00 AM ,4.5,29934,Park,Parks,30.04076,31.26473,cairo,Park Parks
5,Prince Mohamed Ali Palace (Al Manial Palace): , 9:00 AM , 4:00 PM,4.6,6439,Historical landmark,History Museums,30.02895,31.23001,cairo,Historical landmark History Museums
6,Al-Azhar Mosque: , 9:00 AM , 5:00 PM,4.8,13719,Mosque,Religious Sites,30.04569,31.26269,cairo,Mosque Religious Sites
7,Tahrir Square: ,06:00 AM, 12:00 AM,4.6,7900,Tourist attraction,Points of Interest & Landmarks,30.0444,31.23572,cairo,Tourist attraction Points of Interest & Landmarks
8,Mosque-Madrasa of Sultan Hassan: , 9:00 AM , 5:00 PM,4.8,3372,Mosque,Historic Sites Religious Sites,30.03228,31.25617,cairo,Mosque Historic Sites Religious Sites
9,Mosque of Ibn Tulun: , 9:00 AM , 5:00 PM,4.7,3463,Mosque,Historic Sites Religious Sites,30.02869,31.24939,cairo,Mosque Historic Sites Religious Sites
10,Pharaonic Village: , 9:00 AM , 5:00 PM,4.3,13603,Tourist attraction,Historic Sites Points of Interest & Landmarks,29.99732,31.21478,giza,Tourist attraction Historic Sites Points of Interest & Landmarks
11,The Coptic Museum: , 9:00 AM , 5:00 PM,4.5,893,Museum,Art Museums,30.00576,31.2304,cairo,Museum Art Museums
12,Qalawun Complex: , 9:00 AM , 5:00 PM,4.7,749,Historical landmark,Historic Sites Religious Sites,30.0494,31.26096,cairo,Historical landmark Historic Sites Religious Sites
13,Al-Hakim Mosque: , 9:00 AM , 5:00 PM,4.7,8214,Mosque,Religious Sites,30.05455,31.26351,cairo,Mosque Religious Sites
14,Museum of Islamic Art in Cairo: , 9:00 AM , 5:00 PM,4.6,4047,Museum,Art Museums History Museums,30.04472,31.25272,cairo,Museum Art Museums History Museums
15,Mosque of Muhammad Ali: , 9:00 AM , 5:00 PM,4.7,4290,Mosque,Historic Sites Religious Sites,30.0287,31.25991,cairo,Mosque Historic Sites Religious Sites
16,Gayer-Anderson Museum: , 9:00 AM , 5:00 PM,4.6,1261,Museum,Historic Sites Art Museums Archaeological,30.02833,31.25074,cairo,Museum Historic Sites Art Museums Archaeological
17,Abdeen Palace Museum: , 9:00 AM , 4:00 PM,4.6,"10,074",Museum,History Museums Historical place,30.04321,31.24722,cairo,Museum History Museums Historical place
18,The National Museum of Egyptian Civilization: , 9:00 AM , 5:00 PM,4.7,14633,Museum,History Museums,30.00841,31.24825,cairo,Museum History Museums
19,The Hanging Church: , 9:00 AM , 5:00 PM,4.6,5100,Church,Architectural Buildings Religious Sites,30.00527,31.23018,cairo,Church Architectural Buildings Religious Sites
20,Talaat Harb Square: ,06:00 AM, 12:00 AM,4.5,14732,Historical landmark,Historic street,30.0476,31.23845,cairo,Historical landmark Historic street
21,Royal Chariots Museum: , 9:00 AM , 5:00 PM,4.4,473,Museum,History Museums,30.05591,31.23132,cairo,Museum History Museums
22,Bab al-Futuh: , 9:00 AM , 5:00 PM,4.6,6390,Historical landmark,Historic Sites Points of Interest & Landmarks Historic Walking Areas Castles,30.05536,31.26341,cairo,Historical landmark Historic Sites Points of Interest & Landmarks Historic Walking Areas Castles
23,Al-Hussein Mosque: , 9:00 AM , 5:00 PM,4.6,25106,Mosque,Points of Interest & Landmarks Religious Sites,30.04767,31.26319,cairo,Mosque Points of Interest & Landmarks Religious Sites
24,Bab Zuweila: , 9:00 AM , 5:00 PM,4.6,839,Historical landmark,Historic Sites Points of Interest & Landmarks Castles,30.0427,31.25778,cairo,Historical landmark Historic Sites Points of Interest & Landmarks Castles
25,Lazoghly Square Lazoghly Statue: ,06:00 AM, 12:00 AM,4.4,183,Tourist attraction,Historic street,30.03913,31.24034,cairo,Tourist attraction Historic street
26,El Andalos Park: ,06:00 AM, 12:00 AM,4.1,809,Park,garden,30.0442,31.22741,cairo,Park garden
27,House of Suhaymi: , 9:00 AM , 5:00 PM,4.6,1624,Historical landmark,Speciality Museums,30.0521,31.26249,cairo,Historical landmark Speciality Museums
28,Al Horreya Garden: ,06:00 AM, 12:00 AM,4.2,4046,Garden,,30.04147,31.22579,cairo,Garden
29,Townhouse Gallery: , 12:00 PM , 9:00 PM,4.5,242,Art Gallery,,30.04907,31.23804,cairo,Art Gallery
30,Aqsunqur Mosque: , 9:00 AM , 5:00 PM,4.7,435,Mosque,Religious Sites,30.03611,31.26028,cairo,Mosque Religious Sites
31,Saad Zaghloul Statue: ,06:00 AM, 12:00 AM,4.4,138,Historical landmark,,30.0434,31.22708,cairo,Historical landmark
32,St Sergius and St Bacchus Church: , 9:00 AM , 4:00 PM,4.7,1163,Church,Churches & Cathedrals,30.00628,31.23067,cairo,Church Churches & Cathedrals
33,Pyramid of Djoser: , 9:00 AM , 5:00 PM,4.7,4940,Cultural landmark,Ancient Ruins Points of Interest & Landmarks,29.87132,31.21654,giza,Cultural landmark Ancient Ruins Points of Interest & Landmarks
34,Saqqara Necropolis: , 9:00 AM , 5:00 PM,4.8,998,Historical landmark,Historic Sites Ancient Ruins,29.86846,31.21682,giza,Historical landmark Historic Sites Ancient Ruins
35,El Obour Park: ,06:00 AM, 12:00 AM,4.3,363,Park,,30.05623,31.21762,cairo,Park
36,Aquarium Grot+ Garden: ,06:00 AM, 12:00 AM,3.8,3966,Park,,30.0564,31.21908,cairo,Park
37,Masjid Omar Makram: , 9:00 AM , 5:00 PM,4.5,2213,Mosque,Religious Sites,30.0432,31.23395,cairo,Mosque Religious Sites
38,Pyramid of Khafre: , 8:00 AM , 5:00 PM,4.7,974,Historical landmark,Historic Sites,29.97613,31.13093,giza,Historical landmark Historic Sites
39,Masjid Sultan Abo Elelaa: , 9:00 AM , 5:00 PM,4.6,2002,Mosque,Religious Sites,30.0564,31.22996,cairo,Mosque Religious Sites
40,Bent Pyramid: , 8:00 AM , 5:00 PM,4.7,1178,Historical landmark,Ancient Ruins Points of Interest & Landmarks Architectural Buildings,29.79045,31.20932,giza,Historical landmark Ancient Ruins Points of Interest & Landmarks Architectural Buildings
41,The Child Museum: , 9:00 AM , 4:00 PM,4.4,1152,Museum,Speciality Museums Childrens,30.10224,31.33695,cairo,Museum Speciality Museums Childrens
42,Red Pyramid: , 8:00 AM , 5:00 PM,4.8,1477,Historical landmark,,29.80859,31.20661,giza,Historical landmark
43,Qasr El Nil Bridge: ,06:00 AM, 12:00 AM,4.6,2024,Bridge,,30.04385,31.23019,cairo,Bridge
44,Abdeen Garden: ,06:00 AM, 12:00 AM,4.4,1705,Park,,30.04385,31.24587,cairo,Park
45,Khedive or Zamalek tree: ,06:00 AM, 12:00 AM,4.8,25,Park,,30.04592,31.22429,cairo,Park
46,Synagogue Ben Ezra: , 9:00 AM , 4:00 PM,4.4,197,Synagogue,Historic Sites Religious Sites,30.00573,31.23103,cairo,Synagogue Historic Sites Religious Sites
47,Islamic Ceramics Museum: , 9:00 AM , 5:00 PM,3.9,64,Museum,Art Museums,30.05717,31.22265,cairo,Museum Art Museums
48,Gayer-Anderson Museum: , 9:00 AM , 5:00 PM,4.6,"1,179",Museum,Historic Sites Art Museums Archaeological,30.02833,31.25074,cairo,Museum Historic Sites Art Museums Archaeological
49,Mahmoud Mukhtar Museum: , 9:00 AM , 5:00 PM,4.6,252,Museum,Speciality Museums Art,30.0407,31.22287,cairo,Museum Speciality Museums Art
50,The Coptic Museum: , 9:00 AM , 5:00 PM,4.5,867,Museum,Art Museums,30.00576,31.2304,cairo,Museum Art Museums
51,National Military Museum Egypt: , 9:00 AM , 4:00 PM,4.3,"4,517",Museum,Military Museums,30.03085,31.26256,cairo,Museum Military Museums
52,Gamal Abdel Nasser Museum: , 9:00 AM , 4:00 PM,4.4,221,Museum,Historical place,30.08654,31.3107,cairo,Museum Historical place
53,Egyptian Geology Museum: , 9:00 AM , 3:00 PM,4.1,374,Museum,Science Museums,29.9964,31.2289,cairo,Museum Science Museums
54,Abdeen Palace Museum: , 9:00 AM , 3:00 PM,4.4,"1,122",Museum,Speciality Museums Childrens,30.10224,31.33695,cairo,Museum Speciality Museums Childrens
55,Taha Hussein Museum: , 9:00 AM , 2:00 PM,4.5,"9,657",Museum,History Museums Historical place,30.04321,31.24722,cairo,Museum History Museums Historical place
56,Luxor Museum: , 9:00 AM , 9:00 PM,4.3,239,Museum,History Museums,30.00501,31.18498,giza,Museum History Museums
57,The Egyptian Museum: , 9:00 AM , 5:00 PM,4.7,"4,765",Museum,History Museums,25.70761,32.64455,luxor,Museum History Museums
58,Prince Mohamed Ali Palace (Al Manial Palace): , 9:00 AM , 4:00 PM,4.5,"6,617",Museum,History Museums Archaeological,30.04829,31.23375,cairo,Museum History Museums Archaeological
59,Museum Of Modern Egyptian Art: , 9:00 AM , 3:00 PM,4.6,"6,254",Palace,,30.02895,31.23001,cairo,Palace
60,Umm Kulthum Museum: , 9:00 AM , 4:00 PM,4.2,229,Museum,Art,30.04369,31.22468,cairo,Museum Art
61,Grand Egyptian Museum: , 8:00 AM , 4:00 PM,4.3,705,Museum,Heritage Biographical,30.00745,31.22529,cairo,Museum Heritage Biographical
62,Egyptian Textiles Museum: , 9:00 AM , 5:00 PM,4.6,396,Museum,History Museums,29.99437,31.1191,giza,Museum History Museums
63,Khalil Museum: , 10:00 AM , 6:00 PM,4.6,128,Museum,Speciality Museums,30.00772,31.25999,cairo,Museum Speciality Museums
64,Panorama Oc+ber: , 9:00 AM , 8:00 PM,4.6,441,Museum,Art Museums,30.0356,31.21959,cairo,Museum Art Museums
65,The Royal Mummies Hall: , 9:00 AM , 3:00 PM,4.4,"7,472",Museum,Speciality Museums War,30.07427,31.30681,cairo,Museum Speciality Museums War
66,Geographical Association of Egypt: , 9:00 AM , 3:00 PM,4.7,826,Museum,,30.00815,31.24826,cairo,Museum
67,Mostafa Kamel Museum: , 9:00 AM ,  9:00 PM,4.4,75,Association or organization,,30.04112,31.23605,cairo,Association or organization
68,Egyptian Air Force Museum: , 9:00 AM , 2:00 PM,4.5,135,Museum,Speciality Museums,30.02961,31.25722,cairo,Museum Speciality Museums
69,Egyptian National Library Museum: , 9:00 AM , 5:00 PM,4.7,"1,045",Museum,Points of Interest & Landmarks,30.09662,31.35162,cairo,Museum Points of Interest & Landmarks
70,Foustat Traditional Crafts Center: , 9:00 AM , 4:00 PM,4.8,12,Museum,,30.04433,31.25233,cairo,Museum
71,Pharaonic Papyrus Museum: , 9:00 AM , 4:00 PM,4.3,185,Museum,History Museums,30.00637,31.23472,cairo,Museum History Museums
72,Beshtak Palace: , 9:00 AM , 4:00 PM,4.4,517,Museum,Speciality & Gift Shops,29.99118,31.15238,cairo,Museum Speciality & Gift Shops
73,Beit Al-Razzaz: , 9:00 AM , 4:00 PM,4.5,395,Museum,Historic Sites Palace,30.05051,31.26189,cairo,Museum Historic Sites Palace
74,Alexandria National Museum: , 9:00 AM , 4:00 PM,4.7,72,Historical landmark,mansion,30.03752,31.2595,cairo,Historical landmark mansion
75,Royal Jewellery Museum: , 9:00 AM , 4:00 PM,4.4,"2,105",Museum,History Museums,31.20074,29.9132,Alexandria,Museum History Museums
76,National Police Museum: , 9:00 AM , 2:00 PM,4.6,"6,001",Museum,History Museums,31.24061,29.96328,Alexandria,Museum History Museums
77,"Museum of Illusions, Cairo: ", 10:00 AM , 11:00 PM,3.9,95,Museum,History Museums,30.03079,31.25991,cairo,Museum History Museums
78,Ramses Wissa Wassef Art Center: , 9:00 AM , 4:00 PM,4.4,"1,168",Museum,Speciality Museums Art Museums,30.0775,30.95138,cairo,Museum Speciality Museums Art Museums
79,Karmet Ibn Hanie Cultural Center Ahmed Shawky Museum: , 9:00 AM , 5:00 PM,4.6,117,Art Gallery,,29.96875,31.17596,giza,Art Gallery
80,Nation's House Museum: , 9:00 AM , 5:00 PM,4.3,158,Cultural center,,30.02126,31.21743,cairo,Cultural center
81,Rokn Farouk Museum: , 9:00 AM , 5:00 PM,4.3,219,Museum,History Museums,30.03801,31.23746,cairo,Museum History Museums
82,Islamic Ceramics Museum: , 9:00 AM , 5:00 PM,4.3,"1,238",Museum,Heritage,29.847,31.29472,cairo,Museum Heritage
83,Al-Azhar Park: , 9:00 AM , 12:00 AM ,3.9,63,Museum,Art Museums,30.05717,31.22265,cairo,Museum Art Museums
84,Al Horreya Garden: ,06:00 AM, 12:00 AM,4.5,30165,Park,,30.04076,31.26473,cairo,Park
85,Manial Garden: , 9:00 AM , 5:00 PM,4.2,4045,Garden,Botanical,30.04147,31.22579,cairo,Garden Botanical
86,Umm Kulthum Park: ,06:00 AM, 12:00 AM,4.2,310,Park,garden,30.02894,31.23006,cairo,Park garden
87,El Obour Park: , 9:00 AM , 11:00 PM,4.1,1505,Park,,30.03108,31.22562,cairo,Park
88,Aquarium Grot+ Garden: ,06:00 AM, 12:00 AM,4.3,363,Park,,30.22834,31.47989,cairo,Park
89,Gezira Island: ,06:00 AM, 12:00 AM,3.8,3965,Park,,30.0564,31.21908,cairo,Park
90,Fustat Park: ,06:00 AM, 12:00 AM,4.1,40,Park,,30.04514,31.22811,cairo,Park
91,Dar-Uloom Park: ,06:00 AM, 12:00 AM,3.8,5598,Park,,30,31.23333,cairo,Park
92,Play Time Park: ,06:00 AM, 12:00 AM,3.9,940,Park,,30.03436,31.23591,cairo,Park
93,The International Park: ,06:00 AM, 12:00 AM,4.3,586,Park,,30.06984,31.22703,cairo,Park
94,Ebn Sinder Park: ,06:00 AM, 12:00 AM,4.1,22154,Park,city,30.04955,31.33649,cairo,Park city
95,Arab Mohammadi Park: , 9:00 AM , 5:00 PM,3.7,2100,Park,,30.08965,31.30278,cairo,Park
96,The Water Park Faculty of Agriculture: , 10:00 AM , 5:00 PM,3.7,435,Park,,30.07651,31.27951,cairo,Park
97,Al-Azhar Park Fountain: , 9:00 AM , 12:00 AM ,4.3,158,Park,,30.01926,31.21087,cairo,Park
98,Abdeen Park: ,06:00 AM, 12:00 AM,4.5,22,Garden,park,30.04076,31.26473,cairo,Garden park
