attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,images_url
1,Citadel of Saladin,4.6,24755,Tourist attraction,"Sights and landmarks, Historic Sites",30.0287457,31.2597144,cairo,"Tourist attraction Sights and landmarks, Historic Sites",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSb_U6iC1v3zAf1d3mlnZAC-23McOCITRI2U1lr_C0nHr-Mx-VGRTvvFQIbJA&s
2,Cairo Tower,4.3,23202,Tourist attraction,Observation Decks & Towers,30.045915,31.2242898,cairo,Tourist attraction Observation Decks & Towers,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRo-kp-aRXxJqzQs-KDadeL1HzYc96L-ZzmSlpsZ2r9xn9sUQFHkgnTcfw-QA&s
3,Khan el-Khalili,4.4,45558,Bazar,Flea & Street Markets,30.0477386,31.2622538,cairo,Bazar Flea & Street Markets,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvy057uhivz_SuJ_fZl0nX5PhGL5nw-mtfKku1cuHVWxGoc4ujCtoyhzI4qkA&s
4,Al-Azhar Park,4.5,29934,Park,Parks,30.040758,31.2647327,cairo,Park Parks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQt0yDPWjPuekdb7cbZcnqRoRwxxqBnTd9MQH_8Ow0I2n7fK8vhpnsSWIWY-Q&s
5,Prince Mohamed Ali Palace (Al Manial Palace),4.6,6439,Historical landmark,History Museums,30.0289507,31.230013,cairo,Historical landmark History Museums,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdld7PpU5jLvdlAwk-rB8fm7eFZATyLImzfgLQ6TdB0ZLL4BrXWhAq1ZDOUQ&s
6,Al-Azhar Mosque,4.8,13719,Mosque,Religious Sites,30.045688,31.2626851,cairo,Mosque Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzbGNyrtMST81WZTfSGS41XyH0ft-TN9ZPTcTqCjCl57CMpduzkhpY0qG4SA&s
7,Tahrir Square,4.6,7900,Tourist attraction,Points of Interest & Landmarks,30.0443994,31.2357188,cairo,Tourist attraction Points of Interest & Landmarks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9af-BbDbPZzXxwcyFgzRVeiijEAxUCuHH0NDSsYthrLES81tq9dFuHmJCp3w&s
8,Mosque-Madrasa of Sultan Hassan,4.8,3372,Mosque,Historic Sites  Religious Sites,30.0322791,31.2561704,cairo,Mosque Historic Sites  Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS465F4hBNy0RTIKnHz4p4Y0vkwShRLP4EpGni3jbbD3XhqwvI0JZB9l7rjPg&s
9,Mosque of Ibn Tulun,4.7,3463,Mosque,Historic Sites  Religious Sites,30.028691,31.2493941,cairo,Mosque Historic Sites  Religious Sites,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTTqj06fwveQgZkdCnoYn_8Gnkli7sDp6tTNK4U22O1duV3YByFeMD6qktULuo&s
10,Pharaonic Village,4.3,13603,Tourist attraction,Historic Sites Points of Interest & Landmarks,29.9973207,31.2147781,giza,Tourist attraction Historic Sites Points of Interest & Landmarks,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWMvqJhqekFEKEdi90kIdPZiMeYTaPfjzk2a9VFH9UNUCs7yfojP99rrTGwQ&s
